node,degree_centrality,weighted_degree,betweenness,pagerank,clustering,Name,isAlive
Dorcas,0.009302325581395349,41,7.915516251573787e-06,0.001089999662105437,0.0770656058258259,Dorcas,1
Maggy,0.0031007751937984496,8,0.0,0.0004934496065662418,0.05080919670492466,Maggy,1
Raynard,0.0031007751937984496,7,0.00310077519379845,0.0008363859550157448,0.0,Raynard,1
Unella,0.0015503875968992248,3,0.0,0.0002930380493102188,0.0,Unella,1
Gretchel,0.006201550387596899,21,1.8714202647822626e-05,0.0008589461646992009,0.05320614734180009,Gretchel,1
Maddy,0.007751937984496124,28,5.195371477976447e-05,0.0010858916593876576,0.04194800361475494,Maddy,1
Walgrave,0.0031007751937984496,13,0.0031007751937984496,0.0012149288727243753,0.0,Walgrave,1
Quill,0.0015503875968992248,4,0.0,0.00046484189577697323,0.0,Quill,1
Rosey,0.0015503875968992248,9,0.0,0.0007556465874796139,0.0,Rosey,1
Puckens,0.0031007751937984496,6,0.0031007751937984496,0.0007763592982816256,0.0,Puckens,1
Shortear,0.0015503875968992248,3,0.0,0.0005626754859247475,0.0,Shortear,1
Xhondo,0.0031007751937984496,22,0.0,0.0008490057471322545,0.07956451202155729,Xhondo,1
Torbert,0.0015503875968992248,4,0.0,0.0006393334114485813,0.0,Torbert,1
Rugen,0.0015503875968992248,3,0.0,0.000565974430611895,0.0,Rugen,1
Theobald,0.0015503875968992248,7,0.0,0.00039649715226631067,0.0,Theobald,1
